Concelho,Temp_Max,Temp_Min,Hum_Max,Hum_Min,Vento_Int,Vento_Dir,Precip,Risco,ID_Tempo,Dia
Arcos de Valdevez,22.1,16.9,0.975,0.893,Fraco,SE,Chuva Moderada,N/D,9,24/08/2026
Caminha,21.1,17.2,0.966,0.877,Moderado,SE,Chuva Moderada,N/D,6,24/08/2026
Melgaço,22.3,15.9,0.975,0.8740000000000001,Moderado,SW,Chuva Moderada,N/D,6,24/08/2026
Monção,22.6,16.1,0.965,0.847,Fraco,SW,Chuva Moderada,N/D,6,24/08/2026
Paredes de Coura,20.6,15.2,0.9790000000000001,0.867,Moderado,SE,Chuva Forte,N/D,23,24/08/2026
Ponte da Barca,22.2,17.1,0.975,0.894,Fraco,SE,Chuva Moderada,N/D,9,24/08/2026
Ponte de Lima,22.1,15.9,0.98,0.8240000000000001,Fraco,SE,Chuva Moderada,N/D,9,24/08/2026
Valença,23.6,17.1,0.9540000000000001,0.823,Moderado,SW,Chuva Forte,N/D,23,24/08/2026
Viana do Castelo,21.9,17.0,0.978,0.789,Moderado,SE,Chuva Forte,N/D,20,24/08/2026
Vila Nova de Cerveira,24.1,15.7,1.0,0.787,Moderado,SW,Chuva Forte,N/D,23,24/08/2026
Arcos de Valdevez,23.6,16.4,0.996,0.72,Fraco,S,Chuva Fraca,N/D,6,25/08/2026
Caminha,21.5,16.7,1.0,0.79,Fraco,SW,Chuva Fraca,N/D,7,25/08/2026
Melgaço,23.3,15.7,0.9940000000000001,0.713,Fraco,SW,Chuva Fraca,N/D,7,25/08/2026
Monção,24.4,16.2,0.988,0.6509999999999999,Fraco,SW,Chuva Fraca,N/D,7,25/08/2026
Paredes de Coura,21.9,14.7,0.99,0.6609999999999999,Fraco,SW,Chuva Fraca,N/D,7,25/08/2026
Ponte da Barca,23.7,16.6,0.996,0.722,Fraco,S,Chuva Fraca,N/D,6,25/08/2026
Ponte de Lima,22.9,15.6,1.0,0.6990000000000001,Fraco,SW,Chuva Fraca,N/D,7,25/08/2026
Valença,24.9,16.9,0.987,0.645,Fraco,SW,Chuva Fraca,N/D,7,25/08/2026
Viana do Castelo,22.3,16.8,0.9940000000000001,0.773,Fraco,SW,Chuva Fraca,N/D,7,25/08/2026
Vila Nova de Cerveira,24.4,15.8,1.0,0.667,Fraco,SW,Chuva Fraca,N/D,7,25/08/2026
Arcos de Valdevez,20.0,15.0,0.976,0.835,Moderado,S,Chuva Forte,N/D,23,26/08/2026
Caminha,20.1,16.5,0.961,0.7759999999999999,Moderado,S,Chuva Forte,N/D,20,26/08/2026
Melgaço,19.9,15.2,0.9590000000000001,0.8270000000000001,Moderado,SW,Chuva Forte,N/D,20,26/08/2026
Monção,20.5,15.7,0.9309999999999999,0.7929999999999999,Moderado,S,Chuva Forte,N/D,20,26/08/2026
Paredes de Coura,18.3,13.5,0.9790000000000001,0.81,Moderado,S,Chuva Forte,N/D,23,26/08/2026
Ponte da Barca,20.2,15.1,0.977,0.8370000000000001,Moderado,S,Chuva Forte,N/D,23,26/08/2026
Ponte de Lima,20.6,15.1,0.9990000000000001,0.75,Fraco,SW,Chuva Forte,N/D,23,26/08/2026
Valença,20.7,15.9,0.961,0.7859999999999999,Moderado,S,Chuva Forte,N/D,20,26/08/2026
Viana do Castelo,21.2,16.0,0.97,0.711,Moderado,S,Chuva Forte,N/D,20,26/08/2026
Vila Nova de Cerveira,21.1,15.4,0.9990000000000001,0.769,Moderado,S,Chuva Forte,N/D,20,26/08/2026
Arcos de Valdevez,18.7,14.2,0.972,0.7090000000000001,Fraco,S,Chuva Moderada,N/D,11,27/08/2026
Caminha,19.2,14.9,0.9440000000000001,0.695,Moderado,S,Chuva Moderada,N/D,6,27/08/2026
Melgaço,17.7,13.9,0.9740000000000001,0.862,Fraco,SW,Chuva Moderada,N/D,6,27/08/2026
Monção,18.6,14.4,0.955,0.8009999999999999,Fraco,SW,Chuva Moderada,N/D,6,27/08/2026
Paredes de Coura,17.5,12.6,0.975,0.716,Fraco,SW,Chuva Moderada,N/D,6,27/08/2026
Ponte da Barca,18.8,14.3,0.973,0.7140000000000001,Fraco,S,Chuva Moderada,N/D,11,27/08/2026
Ponte de Lima,19.1,13.3,0.9740000000000001,0.691,Fraco,SW,Chuva Moderada,N/D,9,27/08/2026
Valença,19.6,14.8,0.956,0.733,Moderado,S,Chuva Moderada,N/D,6,27/08/2026
Viana do Castelo,19.9,14.9,0.9670000000000001,0.642,Fraco,SE,Chuva Moderada,N/D,6,27/08/2026
Vila Nova de Cerveira,20.0,13.8,0.995,0.706,Moderado,SW,Chuva Moderada,N/D,6,27/08/2026
Arcos de Valdevez,24.3,14.3,1.0,0.569,Fraco,W,Chuva Fraca,N/D,7,28/08/2026
Caminha,21.4,15.3,0.9940000000000001,0.745,Fraco,SE,Chuva Fraca,N/D,7,28/08/2026
Melgaço,22.9,14.1,0.9840000000000001,0.615,Fraco,W,Chuva Fraca,N/D,7,28/08/2026
Monção,23.6,14.7,0.9540000000000001,0.596,Fraco,W,Chuva Fraca,N/D,7,28/08/2026
Paredes de Coura,22.0,12.5,1.0,0.605,Fraco,W,Chuva Fraca,N/D,7,28/08/2026
Ponte da Barca,24.5,14.5,1.0,0.568,Fraco,W,Chuva Fraca,N/D,7,28/08/2026
Ponte de Lima,23.6,13.3,1.0,0.622,Fraco,W,Chuva Fraca,N/D,7,28/08/2026
Valença,24.4,14.6,1.0,0.608,Fraco,W,Chuva Fraca,N/D,7,28/08/2026
Viana do Castelo,21.9,14.4,1.0,0.7440000000000001,Fraco,W,Chuva Fraca,N/D,7,28/08/2026
Vila Nova de Cerveira,24.2,13.3,1.0,0.632,Fraco,W,Chuva Fraca,N/D,7,28/08/2026
Arcos de Valdevez,25.1,12.8,1.0,0.57,Fraco,SW,Sem Chuva,N/D,2,29/08/2026
Caminha,21.3,14.6,1.0,0.755,Fraco,W,Sem Chuva,N/D,2,29/08/2026
Melgaço,23.7,13.0,1.0,0.59,Fraco,W,Sem Chuva,N/D,2,29/08/2026
Monção,24.3,13.3,1.0,0.58,Fraco,W,Sem Chuva,N/D,2,29/08/2026
Paredes de Coura,22.4,11.8,1.0,0.597,Fraco,W,Sem Chuva,N/D,2,29/08/2026
Ponte da Barca,25.3,13.0,1.0,0.573,Fraco,SW,Sem Chuva,N/D,2,29/08/2026
Ponte de Lima,24.1,12.6,1.0,0.62,Fraco,W,Sem Chuva,N/D,2,29/08/2026
Valença,24.9,14.0,1.0,0.601,Fraco,W,Sem Chuva,N/D,3,29/08/2026
Viana do Castelo,22.6,13.4,1.0,0.693,Fraco,W,Sem Chuva,N/D,2,29/08/2026
Vila Nova de Cerveira,24.4,13.2,1.0,0.613,Fraco,W,Sem Chuva,N/D,2,29/08/2026
Arcos de Valdevez,25.3,13.8,,,Fraco,W,Chuva Fraca,N/D,7,30/08/2026
Caminha,21.8,15.7,,,Fraco,N,Sem Chuva,N/D,3,30/08/2026
Melgaço,23.9,14.2,,,Fraco,SW,Chuva Moderada,N/D,6,30/08/2026
Monção,24.4,14.3,,,Fraco,NW,Chuva Moderada,N/D,7,30/08/2026
Paredes de Coura,22.7,12.6,,,Fraco,NW,Chuva Fraca,N/D,7,30/08/2026
Ponte da Barca,25.4,14.0,,,Fraco,W,Chuva Fraca,N/D,7,30/08/2026
Ponte de Lima,24.4,13.4,,,Fraco,NW,Chuva Fraca,N/D,7,30/08/2026
Valença,25.1,14.7,,,Fraco,NW,Chuva Fraca,N/D,6,30/08/2026
Viana do Castelo,23.2,14.2,,,Fraco,E,Sem Chuva,N/D,3,30/08/2026
